currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,seriousCount,suspectedIncr,currentConfirmedIncr,confirmedIncr,curedIncr,deadIncr,seriousIncr,updateTime,
120,84545,1732,79780,4645,404,1,-11,2,13,0,1,2020-05-27,
126,84543,1731,79772,4645,403,7,-8,7,15,0,7,2020-05-26,
129,84536,1724,79762,4645,396,11,-5,11,16,0,25,2020-05-25,
131,84525,1713,79749,4645,371,2,-6,3,9,0,1,2020-05-24,
137,84522,1711,79740,4645,370,0,-2,2,4,0,5,2020-05-23,
141,84522,1711,79736,4645,365,2,-3,12,15,0,-10,2020-05-22,
143,84506,1708,79718,4645,368,1,-4,6,10,0,-21,2020-05-20,
145,84503,1707,79713,4645,389,3,-3,9,12,0,-59,2020-05-19,
144,84494,1704,79705,4645,448,4,-13,10,23,0,-67,2020-05-18,
152,84487,1700,79690,4645,515,2,-14,9,22,1,-46,2020-05-17,
165,84478,1698,79669,4644,561,6,-16,9,25,0,-58,2020-05-16,
167,84471,1692,79660,4644,619,0,-32,7,39,0,-93,2020-05-15,
186,84465,1692,79635,4644,712,0,-34,7,41,0,-38,2020-05-14,
200,84461,1692,79617,4644,750,1,-41,10,51,0,-10,2020-05-13,
227,84451,1691,79580,4644,760,1,-47,1,47,1,-20,2020-05-12,
267,84450,1690,79539,4644,780,7,-32,20,51,1,-14,2020-05-11,
282,84435,1683,79510,4643,794,2,-114,19,133,0,-42,2020-05-10,
356,84416,1681,79417,4643,836,1,-92,1,93,0,-18,2020-05-09,
425,84416,1680,79348,4643,854,0,-73,7,80,0,-26,2020-05-08,
480,84414,1680,79291,4643,880,2,-79,8,87,0,-23,2020-05-07,
525,84407,1678,79239,4643,903,2,-110,3,113,0,-44,2020-05-06,
580,84404,1676,79181,4643,947,1,-161,4,165,0,-15,2020-05-05,
717,84403,1675,79043,4643,962,3,-94,10,104,0,-6,2020-05-04,
785,84393,1672,78965,4643,968,1,-55,5,60,0,-21,2020-05-03,
838,84391,1671,78910,4643,981,1,-59,6,65,0,0,2020-05-02,
853,84387,1670,78891,4643,981,6,-92,14,106,0,-17,2020-05-01,
915,84373,1664,78815,4643,998,4,-82,4,86,0,5,2020-04-30,
960,84369,1660,78766,4643,993,21,-80,22,102,0,-4,2020-04-29,
